Date,Close,Growth
6/19/2018,24.95,1.227678571
6/20/2018,25.25,1.254464286
6/21/2018,26.55,1.370535714
6/22/2018,26.6,1.375
6/25/2018,25.95,1.316964286
6/26/2018,26,1.321428571
6/27/2018,25.85,1.308035714
6/28/2018,26,1.321428571
6/29/2018,25.9,1.3125
7/2/2018,26.25,1.34375
7/3/2018,25.75,1.299107143
7/5/2018,26.05,1.325892857
7/6/2018,26.2,1.339285714
7/9/2018,26.3,1.348214286
7/10/2018,26.65,1.379464286
7/11/2018,26.45,1.361607143
7/12/2018,26.15,1.334821429
7/13/2018,25.6,1.285714286
7/16/2018,25.8,1.303571429
7/17/2018,25.85,1.308035714
7/18/2018,25.75,1.299107143
7/19/2018,25.75,1.299107143
7/20/2018,25.45,1.272321429
7/23/2018,24.9,1.223214286
7/24/2018,24.3,1.169642857
7/25/2018,24.6,1.196428571
7/26/2018,24.45,1.183035714
7/27/2018,24,1.142857143
7/30/2018,24.2,1.160714286
7/31/2018,24.8,1.214285714
8/1/2018,24.55,1.191964286
8/2/2018,24.45,1.183035714
8/3/2018,24.2,1.160714286
8/6/2018,24.45,1.183035714
8/7/2018,24.3,1.169642857
8/8/2018,22.7,1.026785714
8/9/2018,22.85,1.040178571
8/10/2018,22.65,1.022321429
8/13/2018,22.75,1.03125
8/14/2018,23.25,1.075892857
8/15/2018,23.05,1.058035714
8/16/2018,23.15,1.066964286
8/17/2018,23.2,1.071428571
8/20/2018,23.5,1.098214286
8/21/2018,23.65,1.111607143
8/22/2018,23.55,1.102678571
8/23/2018,23.45,1.09375
8/24/2018,23.75,1.120535714
8/27/2018,23.75,1.120535714
8/28/2018,23.95,1.138392857
8/29/2018,24.05,1.147321429
8/30/2018,23,1.053571429
8/31/2018,23.3,1.080357143
9/4/2018,23.4,1.089285714
9/5/2018,22.85,1.040178571
9/6/2018,22.8,1.035714286
9/7/2018,22.85,1.040178571
9/10/2018,22,0.964285714
9/11/2018,21.75,0.941964286
9/12/2018,22.1,0.973214286
9/13/2018,22.8,1.035714286
9/14/2018,22.25,0.986607143
9/17/2018,22.3,0.991071429
9/18/2018,22.3,0.991071429
9/19/2018,22.5,1.008928571
9/20/2018,23.2,1.071428571
9/21/2018,23.5,1.098214286
9/24/2018,23,1.053571429
9/25/2018,22.85,1.040178571
9/26/2018,22.65,1.022321429
9/27/2018,22.95,1.049107143
9/28/2018,23.15,1.066964286
10/1/2018,22.74,1.030357143
10/2/2018,22.99,1.052678571
10/3/2018,23.53,1.100892857
10/4/2018,24.05,1.147321429
10/5/2018,24.3,1.169642857
10/8/2018,25.32,1.260714286
10/9/2018,25.53,1.279464286
10/10/2018,24.8,1.214285714
10/11/2018,24.84,1.217857143
10/12/2018,24.99,1.23125
10/15/2018,25.5,1.276785714
10/16/2018,25.99,1.320535714
10/17/2018,26.24,1.342857143
10/18/2018,26.3,1.348214286
10/19/2018,26.53,1.36875
10/22/2018,26.83,1.395535714
10/23/2018,26.5,1.366071429
10/24/2018,25.01,1.233035714
