area_code,area_name,country_region,child_poverty,air_pollution,grouping
E07000082,Stroud,South West,0.22629332542419434,6.1882,Wales and South West
E06000030,Swindon,South West,0.25837504863739014,7.3692,Wales and South West
E07000045,Teignbridge,South West,0.26790633797645569,5.5072,Wales and South West
E07000083,Tewkesbury,South West,0.22156718373298645,6.3493,Wales and South West
E06000027,Torbay,South West,0.29980742931365967,5.7249,Wales and South West
E07000046,Torridge,South West,0.32375237345695496,4.8741,Wales and South West
E07000047,West Devon,South West,0.2780357301235199,4.8123,Wales and South West
E06000054,Wiltshire,South West,0.20224195718765259,6.3801,Wales and South West
W06000019,Blaenau Gwent,Wales,0.328229159116745,5.3678,Wales and South West
W06000013,Bridgend,Wales,0.29295662045478821,5.5085,Wales and South West
W06000018,Caerphilly,Wales,0.30897480249404907,5.9326,Wales and South West
W06000015,Cardiff,Wales,0.33102592825889587,6.8978,Wales and South West
W06000010,Carmarthenshire,Wales,0.3130810558795929,4.8979,Wales and South West
W06000008,Ceredigion,Wales,0.31840476393699646,4.2693,Wales and South West
W06000003,Conwy,Wales,0.30542826652526855,4.0534,Wales and South West
W06000004,Denbighshire,Wales,0.30526533722877502,4.4451,Wales and South West
W06000005,Flintshire,Wales,0.26670673489570618,5.1552,Wales and South West
W06000002,Gwynedd,Wales,0.30031025409698486,3.7966,Wales and South West
W06000001,Isle of Anglesey,Wales,0.31421312689781189,3.7365,Wales and South West
W06000024,Merthyr Tydfil,Wales,0.31811791658401489,5.4595,Wales and South West
W06000021,Monmouthshire,Wales,0.23417118191719055,5.5008,Wales and South West
W06000012,Neath Port Talbot,Wales,0.30475524067878723,5.3732,Wales and South West
W06000022,Newport,Wales,0.32536691427230835,6.5,Wales and South West
W06000009,Pembrokeshire,Wales,0.32414489984512329,4.6741,Wales and South West
W06000023,Powys,Wales,0.30031540989875793,4.3966,Wales and South West
W06000016,Rhondda Cynon Taf,Wales,0.31661954522132874,5.6116,Wales and South West
W06000011,Swansea,Wales,0.29848474264144897,5.452,Wales and South West
W06000020,Torfaen,Wales,0.30805507302284241,5.895,Wales and South West
W06000014,Vale of Glamorgan,Wales,0.25020894408226013,5.7306,Wales and South West
W06000006,Wrexham,Wales,0.31935542821884155,5.1188,Wales and South West
E08000025,Birmingham,West Midlands,0.42459574341773987,7.8598,Midlands and North of England
E07000234,Bromsgrove,West Midlands,0.21434451639652252,6.2441,Midlands and North of England
E07000192,Cannock Chase,West Midlands,0.3219304084777832,6.2395,Midlands and North of England
E08000026,Coventry,West Midlands,0.36455783247947693,7.2791,Midlands and North of England
E08000027,Dudley,West Midlands,0.36507442593574524,7.1665,Midlands and North of England
E07000193,East Staffordshire,West Midlands,0.34363117814064026,6.2595,Midlands and North of England
E06000019,"Herefordshire, County of",West Midlands,0.29356727004051208,5.2545,Midlands and North of England
E07000194,Lichfield,West Midlands,0.25597718358039856,6.3679,Midlands and North of England
E07000235,Malvern Hills,West Midlands,0.26375490427017212,5.5882,Midlands and North of England
E07000195,Newcastle-under-Lyme,West Midlands,0.3061128556728363,5.7174,Midlands and North of England
E07000218,North Warwickshire,West Midlands,0.29530385136604309,6.3962,Midlands and North of England
E07000219,Nuneaton and Bedworth,West Midlands,0.31795641779899597,6.8187,Midlands and North of England
E07000236,Redditch,West Midlands,0.32132729887962341,6.1998,Midlands and North of England
E07000220,Rugby,West Midlands,0.24945254623889923,6.4062,Midlands and North of England
E08000028,Sandwell,West Midlands,0.39966249465942383,8.0632,Midlands and North of England
E06000051,Shropshire,West Midlands,0.28881624341011047,4.8463,Midlands and North of England
E08000029,Solihull,West Midlands,0.25794839859008789,7.1025,Midlands and North of England
