fips,name,pop
13013,"Barrow County, Georgia",81294
13015,"Bartow County, Georgia",106456
13017,"Ben Hill County, Georgia",16889
13019,"Berrien County, Georgia",19206
13021,"Bibb County, Georgia",153026
13023,"Bleckley County, Georgia",12870
13025,"Brantley County, Georgia",18924
13027,"Brooks County, Georgia",15548
13029,"Bryan County, Georgia",38321
13031,"Bulloch County, Georgia",77719
13033,"Burke County, Georgia",22567
13035,"Butts County, Georgia",24463
13037,"Calhoun County, Georgia",6301
13039,"Camden County, Georgia",53960
13043,"Candler County, Georgia",10834
13045,"Carroll County, Georgia",118692
13047,"Catoosa County, Georgia",67181
13049,"Charlton County, Georgia",13032
13051,"Chatham County, Georgia",289649
13053,"Chattahoochee County, Georgia",10470
13055,"Chattooga County, Georgia",24826
13057,"Cherokee County, Georgia",253780
13059,"Clarke County, Georgia",126952
13061,"Clay County, Georgia",2931
13063,"Clayton County, Georgia",287560
13065,"Clinch County, Georgia",6648
13067,"Cobb County, Georgia",756653
13069,"Coffee County, Georgia",43070
13071,"Colquitt County, Georgia",45510
13073,"Columbia County, Georgia",154257
13075,"Cook County, Georgia",17217
13077,"Coweta County, Georgia",145839
13079,"Crawford County, Georgia",12267
13081,"Crisp County, Georgia",22509
13083,"Dade County, Georgia",16183
13085,"Dawson County, Georgia",25277
13087,"Decatur County, Georgia",26595
13089,"DeKalb County, Georgia",755287
13091,"Dodge County, Georgia",20725
13093,"Dooly County, Georgia",13571
13095,"Dougherty County, Georgia",88696
13097,"Douglas County, Georgia",145063
13099,"Early County, Georgia",10218
13101,"Echols County, Georgia",3944
13103,"Effingham County, Georgia",62241
13105,"Elbert County, Georgia",19164
13107,"Emanuel County, Georgia",22525
13109,"Evans County, Georgia",10671
13111,"Fannin County, Georgia",25797
13113,"Fayette County, Georgia",113544
13115,"Floyd County, Georgia",97805
13117,"Forsyth County, Georgia",236605
13119,"Franklin County, Georgia",23015
13121,"Fulton County, Georgia",1051550
13123,"Gilmer County, Georgia",30986
