date,category,value
2021.87953,Star,1685
2021.8768,Other,861
2021.8768,Star,1685
2021.87406,Other,860.6
2021.87406,Star,1685.3
2021.87132,Other,860.7
2021.87132,Star,1686.3
2021.86858,Other,860
2021.86858,Star,1688
2021.86585,Other,855.6999999999999
2021.86585,Star,1636.3
2021.86311,Other,855
2021.86311,Star,1637
2021.86037,Other,855
2021.86037,Star,1637
2021.85763,Other,855
2021.85763,Star,1637
2021.85489,Other,853
2021.85489,Star,1637
2021.85216,Other,853
2021.85216,Star,1637
2021.84942,Other,852
2021.84942,Star,1638
2021.84668,Other,846
2021.84668,Star,1639
2021.84394,Other,845
2021.84394,Star,1639
2021.8412,Other,845
2021.8412,Star,1639
2021.83847,Other,844
2021.83847,Star,1639
2021.83573,Other,844
2021.83573,Star,1639
2021.83299,Other,845
2021.83299,Star,1639
2021.83025,Other,847
2021.83025,Star,1639
2021.82752,Other,849
2021.82752,Star,1639
2021.82478,Other,849
2021.82478,Star,1639
2021.82204,Other,846.7
2021.82204,Star,1639.3
2021.8193,Other,845
2021.8193,Star,1640
2021.81656,Other,844.3
2021.81656,Star,1640.7
2021.81383,Other,844.7
2021.81383,Star,1641.3
2021.81109,Other,843.3000000000001
2021.81109,Star,1641.7
2021.80835,Other,843.5
2021.80835,Star,1642.5
2021.80561,Other,843.7
2021.80561,Star,1643.3
2021.80287,Other,843.3000000000001
2021.80287,Star,1643.7
2021.80014,Other,844
2021.80014,Star,1644
2021.7974,Other,844
2021.7974,Star,1644
2021.79466,Other,844
2021.79466,Star,1644
2021.79192,Other,845.6999999999999
2021.79192,Star,1644.3
2021.78919,Other,845.3
2021.78919,Star,1644.7
2021.78645,Other,844
2021.78645,Star,1645
2021.78371,Other,805.7
2021.78371,Star,1645.3
2021.78097,Other,805.3
2021.78097,Star,1645.7
2021.77823,Other,805
2021.77823,Star,1646
2021.7755,Other,805
2021.7755,Star,1646
2021.77276,Other,805
2021.77276,Star,1646
2021.77002,Other,804.5
2021.77002,Star,1646.5
2021.76728,Other,805
2021.76728,Star,1647
2021.76454,Other,805
2021.76454,Star,1647
2021.76181,Other,805
2021.76181,Star,1647
2021.75907,Other,803
2021.75907,Star,1647
2021.75633,Other,804
2021.75633,Star,1647
2021.75359,Other,810
2021.75359,Star,1647
2021.75086,Other,812
2021.75086,Star,1647
2021.74812,Other,813
2021.74812,Star,1647
2021.74538,Other,815
2021.74538,Star,1647
2021.74264,Other,817
2021.74264,Star,1647
2021.7399,Other,817
2021.7399,Star,1647
2021.73717,Other,816
2021.73717,Star,1647
2021.73443,Other,816.0999999999999
2021.73443,Star,1647.8
2021.73169,Other,814.5
2021.73169,Star,1649.5
2021.72895,Other,812.7
2021.72895,Star,1651.3
2021.72621,Other,811.3
2021.72621,Star,1652.7
2021.72348,Other,810.3000000000001
2021.72348,Star,1653.7
2021.72074,Other,810
2021.72074,Star,1654
2021.718,Other,809
2021.718,Star,1654
2021.71526,Other,809
2021.71526,Star,1654
2021.71253,Other,810
2021.71253,Star,1654
2021.70979,Other,810
2021.70979,Star,1654
2021.70705,Other,809
2021.70705,Star,1654
2021.70431,Other,809
2021.70431,Star,1654
2021.70157,Other,770
2021.70157,Star,1603
2021.69884,Other,770
2021.69884,Star,1603
2021.6961,Other,773
2021.6961,Star,1603
2021.69336,Other,773.5
2021.69336,Star,1603.5
2021.69062,Other,774
2021.69062,Star,1604
2021.68789,Other,774
2021.68789,Star,1604
2021.68515,Other,774
2021.68515,Star,1604
2021.68241,Other,773
2021.68241,Star,1604
2021.67967,Other,773.7
2021.67967,Star,1604.3
2021.67693,Other,773
2021.67693,Star,1605
2021.6742,Other,773
2021.6742,Star,1606
2021.67146,Other,772
2021.67146,Star,1607
2021.66872,Other,771
2021.66872,Star,1608
2021.66598,Other,770.3
2021.66598,Star,1608.7
2021.66324,Other,770
2021.66324,Star,1609
2021.66051,Other,770
2021.66051,Star,1609
2021.65777,Other,768.7
2021.65777,Star,1609.3
2021.65503,Other,769
2021.65503,Star,1610
2021.65229,Other,768.3
2021.65229,Star,1610.7
2021.64956,Other,770
2021.64956,Star,1611
2021.64682,Other,771
2021.64682,Star,1611
2021.64408,Other,772
2021.64408,Star,1611
2021.64134,Other,773
2021.64134,Star,1611
2021.6386,Other,745
